Bangla Text,Equation
পনেরোর বর্গমূলের মান তিন দশমিক আট সাত দুই,√x=y
সতেরোর বর্গমূলের মান চার দশমিক এক দুই,√x=y
আঠারোর বর্গমূলের মান চার দশমিক দুই চার,√x=y
উনিশের বর্গমূলের মান চার দশমিক তিন পাঁচ,√x=y
বিশের বর্গমূলের মান চার দশমিক চার সাত,√x=y
একুশের বর্গমূলের মান চার দশমিক পাঁচ আট,√x=y
বাইশের বর্গমূলের মান চার দশমিক ছয় নয়,√x=y
তেইশের বর্গমূলের মান চার দশমিক সাত নয়,√x=y
চব্বিশের বর্গমূলের মান চার দশমিক আট নয়,√x=y
ছাব্বিশের বর্গমূলের মান পাঁচ দশমিক শূন্য নয়,√x=y
সাতাশের বর্গমূলের মান পাঁচ দশমিক এক নয়,√x=y
আটাশের বর্গমূলের মান পাঁচ দশমিক দুই নয়,√x=y
ঊনত্রিশের বর্গমূলের মান পাঁচ দশমিক তিন আট,√x=y
ত্রিশের বর্গমূলের মান পাঁচ দশমিক চার সাত,√x=y
একত্রিশের  বর্গমূলের মান  পাঁচ দশমিক পাঁচ ছয়,√x=y
বত্রিশের বর্গমূলের মান পাঁচ দশমিক ছয় পাঁচ,√x=y
তেত্রিশের বর্গমূলের মান পাঁচ দশমিক সাত চার,√x=y
চৌত্রিশের বর্গমূলের মান পাঁচ দশমিক আট তিন,√x=y
পয়ত্রিশের বর্গমূলের মান পাঁচ দশমিক নয় এক,√x=y
আটাশি এর সাথে পঞ্চাশ যোগ করলে একশত আটত্রিশ হবে।,x+y=z
সাইত্রিশের বর্গমূলের মান ছয় দশমিক শুন্য আট,√x=y
আটত্রিশের বর্গমূলের মান ছয় দশমিক এক ছয়,√x=y
ঊনচল্লিশের বর্গমূলের মান ছয় দশমিক দুই চার,√x=y
চল্লিশের বর্গমূলের মান ছয় দশমিক তিন দুই,√x=y
একচল্লিশের বর্গমূলের মান ছয় দশমিক চার শূণ্য,√x=y
বিয়াল্লিশের বর্গমূলের মান ছয় দশমিক চার আট,√x=y
তেতাল্লিশের বর্গমূলের মান ছয় দশমিক পাঁচ পাঁচ,√x=y
চুয়াল্লিশের বর্গমূলের মান ছয় দশমিক ছয় তিন,√x=y
পঁয়তাল্লিশের বর্গমূলের মান ছয় দশমিক সাত শূন্য আট,√x=y
ছেচল্লিশের বর্গমূলের মান ছয় দশমিক সাত আট,√x=y
সাতচল্লিশের বর্গমূলের মান ছয় দশমিক আট পাঁচ,√x=y
আটচল্লিশের বর্গমূলের মান ছয় দশমিক নয় দুই,√x=y
পঞ্চাশের বর্গমূলের মান সাত দশমিক শূন্য সাত,√x=y
একান্নর বর্গমূলের মান সাত দশমিক এক চার,√x=y
সাতচল্লিশ এর সাথে তেইশ যোগ করলে সত্তর হবে।,x+y=z
বায়ান্নর বর্গমূলের মান সাত দশমিক দুই এক,√x=y
তেপ্পান্নর বর্গমূলের মান সাত দশমিক দুই আট,√x=y
তেত্রিশ কে তিন ধারা ভাগ করলে ভাগফল এগার হবে ।,x/y=z
চুয়ান্নর বর্গমূলের সাত দশমিক তিন চার,√x=y
পঞ্চান্নর বর্গমূলের মান সাত দশমিক চার এক,√x=y
ছাপ্পান্নর বর্গমূলের মান সাত দশমিক চার আট,√x=y
সাতান্নর বর্গমূলের মান সাত দশমিক পাঁচ চার,√x=y
আটান্নর বর্গমূলের মান সাত দশমিক ছয় এক,√x=y
ঊনষাটের বর্গমূলের মান সাত দশমিক ছয় আট,√x=y
ষাটের বর্গমূলের মান সাত দশমিক সাত চার,√x=y
একষট্টির বর্গমূলের মান সাত দশমিক আট এক,√x=y
বাষট্টির বর্গমূলের মান সাত দশমিক আট সাত,√x=y
তেষট্টির বর্গমূলের মান সাত দশমিক নয় তিন,√x=y
পঁয়ষট্টির বর্গমূলের মান আট দশমিক শূন্য ছয়,√x=y
ছেষট্টির বর্গমূলের মান আট দশমিক এক দুই,√x=y
সাতষট্টির বর্গমূলের মান আট দশমিক এক আট,√x=y
আটষট্টির বর্গমূলের মান আট দশমিক দুই চার,√x=y
ঊনসত্তরের বর্গমূলের মান আট দশমিক তিন,√x=y
সত্তরের বর্গমূলের মান আট দশমিক তিন ছয়,√x=y
একাত্তরের বর্গমূলের মান আট দশমিক চার দুই,√x=y
বাহাত্তরের বর্গমূলের মান আট দশমিক চার আট,√x=y
তিয়াত্তরের বর্গমূলের মান আট দশমিক পাঁচ চার,√x=y
চুয়াত্তরের বর্গমূলের মান আট দশমিক ছয় শূন্য,√x=y
পঁচাত্তরের বর্গমূলের মান আট দশমিক ছয় ছয়,√x=y
ছিয়াত্তরের বর্গমূলের মান আট দশমিক সাত এক,√x=y
সাতাত্তরের বর্গমূলের মান আট দশমিক সাত সাত,√x=y
আটাত্তরের বর্গমূলের মান আট দশমিক আট তিন,√x=y
ঊনআশির বর্গমূলের মান আট দশমিক আট আট,√x=y
আশির বর্গমূলের মান আট দশমিক নয় চার,√x=y
বিরাশির বর্গমূলের মান নয় দশমিক শূন্য পাঁচ,√x=y
তিরাশির বর্গমূলের মান নয় দশমিক এক এক,√x=y
চুরাশির বর্গমূলের মান নয় দশমিক এক ছয়,√x=y
পঁচাশির বর্গমূলের মান নয় দশমিক দুই এক,√x=y
ছিয়াশির বর্গমূলের মান নয় দশমিক দুই সাত,√x=y
সাতশত বত্রিশ এর সাথে একত্রিশ যোগ করলে সাতশ তেষট্টি হবে।,x+y=z
সাতশত বাইশ এর সাথে সাতাশ যোগ করা হলে সাতশ ঊনপঞ্চাশ হবে।,x+y=z
সাইত্রিশ এর সাথে  ছাপ্পান্ন গুন করা হলে দুই হাজার বাহাত্তর হবে।,xy=z
আটাশ এর সাথে বত্রিশ গুন করলে আটশত ছিয়ানব্বই হবে ।,xy=z
একাশির সাথে ঊননব্বই এর গুন করা হলে সাত হাজার দুইশত নয় হবে।,xy=z
ছাব্বিশ এর সাথে সাতাশ এর গুন করা হলে সাতশত দুই হবে ।,xy=z
চারশত চার এর সাথে আট গুন করা হলে তিন হাজার দুইশত বত্রিশ হবে।,xy=z
বত্রিশ কে চার ধারা ভাগ করলে ভাগফল আট হবে।,x/y=z
তেত্রিশ এর সাথে ছয়শত দুই এর গুন করা হলে ঊনিশ হাজার আটশত ছেষট্রি  হবে।,xy=z
আটশত চার এর সাথে তিনশত তিন গুন করলে চব্বিশ লক্ষ তিন হাজার ছয়শত বারো হবে।,xy=z
ঊনচল্লিশ এর সাথে তিন গুন করলে একশত সাতের হবে ।,xy=z
নয়শত দুই এর সাথে সাত গুন করলে ছয় হাজার তিনশত চৌদ্দ হবে ।,xy=z
নয়শত সাত এর সাথে সাত গুন করলে ছয় হাজার তিনশত ঊনপঞ্চাশ হবে।,xy=z
আটশত এক এর সাথে ছয় গুন করলে চার হাজার আটশত ছয় হবে।,xy=z
চল্লিশ কে চার ধারা ভাগ করলে ভাগফল দশ হবে।,x/y=z
একশত চার কে তের ধারা ভাগ করলে আট হবে।,x/y=z
একশত বত্রিশকে এগার ধারা ভাগ করলে ভাগফল বারো হবে।,x/y=z
তেতাল্লিশ কে ছয় ধারা গুন করলে দুইশত আটান্ন হবে।,xy=z
তিপ্পান্নকে বিয়াল্লিশ ধারা গুন করলে দুই হাজার দুইশত ছাব্বিশ হবে।,xy=z
তিনশত তেরকে বিরানব্বই ধারা গুন করলে আটাশ হাজার সাতশত ছিয়ানব্বই হবে।,xy=z
এগারশত চারকে চার ধারা ভাগ করলে ভাগফল দুইশত ছিয়াত্তর হবে।,x/y=z
এগারশত বত্রিশকে দুই ধারা ভাগ করলে ভাগফল পাঁচশত ছেষট্রি হবে।,x/y=z
নয়শত তিরানব্বই কে তিন ধারা ভাগ করলে ভাগফল তিনশত একত্রিশ হবে।,x/y=z
ষাট কে ত্রিশ ধারা ভাগ করলে ভাগফল দুই হবে।,x/y=z
সাতানব্বই কে ছয় ধারা গুন করলে পাঁচশত বিরাশি হবে।,xy=z
ছয়শত নয়কে  তিন ধারা ভাগ করলে ভাগফল দুইশত তিন হবে।,x/y=z
তিনশত তিনকে তিন ধারা ভাগ করলে একশত এক হবে ।,x/y=z
ঊনপঞ্চাশকে সাত ধারা ভাগ করলে ভাগফল সাত হবে।,x/y=z
চারশত ষাটকে বিশ ধারা ভাগ করলে ভাগফল তেইশ হবে।,x/y=z
চারশত পঞ্চাশকে পচিশ ধারা ভাগ করলে আঠারো হবে।,x/y=z
সাতাশির বর্গমূলের মান নয় দশমিক তিন দুই,√x=y
আটাশির বর্গমূলের মান নয় দশমিক তিন আট,√x=y
ঊননব্বই এর বর্গমূলের মান নয় দশমিক চার তিন,√x=y
নব্বইয়ের  বর্গমূলের মান নয় দশমিক চার আট,√x=y
একানব্বইয়ের বর্গমূলের মান নয় দশমিক পাঁচ তিন,√x=y
বিরানব্বইয়ের বর্গমূলের মান নয় দশমিক পাঁচ নয়,√x=y
তিরানব্বইয়ের বর্গমূলের মান নয় দশমিক ছয় চার,√x=y
ঊনিশকে ছাব্বিশ ধারা গুন করলে চারশত পঁচাত্তর হবে।,xy=z
চুরানব্বইয়ের বর্গমূলের মান নয় দশমিক ছয় নয়,√x=y
চব্বিশকে এক ধারা গুন করলে চব্বিশ হবে।,xy=z
পঁচানব্বইয়ের বর্গমূলের মান নয় দশমিক সাত চার,√x=y
পনের কে এক ধারা গুন করলে পনের হবে।,xy=z
তেইশকে দশ ধারা গুন করলে দুইশত ত্রিশ হবে।,xy=z
ছিয়ানব্বইয়ের বর্গমূলের মান নয় দশমিক সাত নয়,√x=y
সাতানব্বইয়ের বর্গমূলের মান নয় দশমিক আট চার,√x=y
আটানব্বইয়ের বর্গমূলের মান নয় দশমিক আট নয়,√x=y
নিরানব্বইয়ের বর্গমূলের মান নয় দশমিক নয় চার,√x=y
একশোর বর্গমূলের মান দশ,√x=y
আটের ফ্যাক্টরিয়ালের মান চল্লিশ হাজার তিনশ বিশ,x!=y
নয়ের ফ্যাক্টরিয়ালের মান তিন লাখ বাষট্টি হাজার আটশ আশি,x!=y
দশের ফ্যাক্টরিয়ালের মান ছত্রিশ লাখ আটাশ হাজার আটশো,x!=y
এগারোর ফ্যাক্টরিয়ালের মান ঊনচল্লিশ কোটি একানব্বই লাখ ছয় হাজার আটশো,x!=y
বারোর ফ্যাক্টরিয়ালের মান সাতচল্লিশ কোটি নব্বই লাখ এক হাজার ছয়শ,x!=y
তেরোর ফ্যাক্টরিয়ালের  মান ছয়শো বাইশ কোটি সত্তর লাখ বিশ হাজার আটশো,x!=y
চৌদ্দর ফ্যাক্টরিয়ালের মান একশো  সাতাশ  কোটি  ঊননব্বই লাখ  পঁয়তাল্লিশ  হাজার  দুইশো  আশি,x!=y
পনেরোর ফ্যাক্টরিয়ালের মান  দুইশো  কোটি  তেতাল্লিশ  লাখ  দশ  হাজার  ষোল,x!=y
ষোলর ফ্যাক্টরিয়ালের মান দুইশো কোটি  একচল্লিশ  লাখ  ঊননব্বই  হাজার  একশো  চুরাশি,x!=y
সতেরোর ফ্যাক্টরিয়ালের  মান  আটাশ  কোটি   পঁচাশি  লাখ  বাইশ  হাজার  দুইশো  চল্লিশ,x!=y
আঠারোর ফ্যাক্টরিয়ালের মান  ঊননব্বই  কোটি  চুরাশি  লাখ  তেত্রিশ  হাজার  চব্বিশ,x!=y
উনিশের  ফ্যাক্টরিয়ালের  মান  দশ  কোটি  ছিয়ানব্বই  লাখ একচল্লিশ  হাজার  সাতশো আটাশ,x!=y
বিশের ফ্যাক্টরিয়ালের মান  দুইশো  দশ  কোটি  একুশ লাখ  বত্রিশ হাজার সাতশো  ছত্রিশ,x!=y
একুশের ফ্যাক্টরিয়ালের মান  একশো  উনিশ  কোটি  একান্ন  লাখ  চৌদ্দ  হাজার  চারশো  ছিয়ানব্বই,x!=y
বাইশের  ফ্যাক্টরিয়ালের  মান  বায়ান্ন  কোটি সাতাশ  লাখ  পনের  হাজার  একশো  ছত্রিশ,x!=y
তেইশের ফ্যাক্টরিয়ালের মান  ছিয়াশি  কোটি  চব্বিশ  লাখ  তেপ্পান্ন  হাজার  সাতশো  ষাট,x!=y
চব্বিশের ফ্যাক্টরিয়ালের মান  সাতাত্তর  কোটি  ঊনষাট  লাখ  ছেচল্লিশ  হাজার  দুইশো  চল্লিশ,x!=y
পঁচিশের  ফ্যাক্টরিয়ালের মান  দুইশ  সাত  কোটি  একষট্টি  লাখ  আশি হাজার  চারশো  আশি,x!=y
ছাব্বিশের ফ্যাক্টরিয়ালের মান  একশ  পঁচাশি  কোটি  আটত্রিশ  লাখ  বিরাশি  হাজার  তিনশো  আটষট্টি,x!=y
সাতাশের ফ্যাক্টরিয়ালের মান একশ  আটচল্লিশ  কোটি  সাতচল্লিশ  লাখ  তিরাশি  হাজার  ছয়শো   ষোল,x!=y
আটাশের ফ্যাক্টরিয়ালের মান  একশো  সাইত্রিশ  কোটি  সাতান্ন   লাখ  একত্রিশ  হাজার  সাতশো  বারো,x!=y
ঊনত্রিশের  ফ্যাক্টরিয়ালের  মান  একশো  চব্বিশ  কোটি  পনের  লাখ  তেরো হাজার  নয়শো  চুরাশি,x!=y
ত্রিশের  ফ্যাক্টরিয়ালের  মান   একশো  চল্লিশ  কোটি  বিরানব্বই  লাখ  ছিয়াশি  হাজার  একশো  চুয়াল্লিশ,x!=y
তিনশত তিন এর সাথে এগার গুন করলে তিন হাজার তিনশত তেত্রিশ হবে।,xy=z
একত্রিশের  ফ্যাক্টরিয়ালের  মান  তিয়াত্তর  কোটি  একাশি  লাখ  সাতানব্বই  হাজার  পাঁচশো  চার,x!=y
বত্রিশের ফ্যাক্টরিয়ালের মান  দুইশো  চৌদ্দ  কোটি  চুয়াত্তর  লাখ  তিরাশি  হাজার  ছয়শো  আটচল্লিশ,x!=y
এগার এর সাথে নয় যোগ করলে আঠারো হবে।,x+y=z
দুইশত এর সাথে একশত ত্রিশ যোগ করলে তিনশত ত্রিশ হবে।,x+y=z
তেত্রিশের ফ্যাক্টরিয়ালের মান  দুইশো  চৌদ্দ  কোটি  চুয়াত্তর  লাখ  তিরাশি  হাজার  ছয়শো  আটচল্লিশ,x!=y
চৌত্রিশের ফ্যাক্টরিয়ালের মান  অনেক বড়,x!=y
পঁয়ত্রিশের  ফ্যাক্টরিয়ালের  মান  অনেক  বড়,x!=y
পনেরশ চল্লিশ এর সাথে ষোল যোগ করলে পনেরশ ছাপ্পান্ন হবে ।,x+y=z
ছত্রিশের  ফ্যাক্টরিয়ালের  মান অনেক  বড়,x!=y
সাইত্রিশের ফ্যাক্টরিয়ালের  মান  অনেক বড়,x!=y
আটত্রিশের ফ্যাক্টরিয়ালের মান বের  করা  কঠিন,x!=y
ঊনচল্লিশের ফ্যাক্টরিয়ালের মান  বের  করা  কঠিন,x!=y
চল্লিশের ফ্যাক্টরিয়ালের মান  বের  করা  কঠিন,x!=y
একচল্লিশের ফ্যাক্টরিয়ালের মান  বের করা কঠিন,x!=y
বিয়াল্লিশের ফ্যাক্টরিয়ালের  মান  বের  করা কঠিন,x!=y
তেতাল্লিশের ফ্যাক্টরিয়ালের মান  বের  করা  সহজ  নয়,x!=y
চুয়াল্লিশের ফ্যাক্টরিয়ালের  মান  বের  করা  সহজ  নয়,x!=y
পঁয়তাল্লিশের ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
ছেচল্লিশের ফ্যাক্টরিয়ালের  মান বের করা সহজ নয়,x!=y
সাতচল্লিশের ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
আটচল্লিশের ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
ঊনপঞ্চাশের ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
পঞ্চাশের ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
একান্নর ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
বায়ান্নর ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
তেপ্পান্নর ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
চুয়ান্নর ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
পঞ্চান্নর ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
ছাপ্পান্নর ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
সাতান্নর ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
আটান্নর ফ্যাক্টরিয়ালের মান বের করা সহজ নয়,x!=y
ঊনষাটের ফ্যাক্টরিয়ালের মান  অনেক  বড়,x!=y
ষাটের ফ্যাক্টরিয়ালের মান  অনেক  বড়,x!=y
একষট্টির ফ্যাক্টরিয়ালের মান বের করা  কঠিন,x!=y
বাষট্টির ফ্যাক্টরিয়ালের মান  বের করা  কঠিন,x!=y
তেষট্টির ফ্যাক্টরিয়ালের মান  বের  করা  কঠিন,x!=y
চৌষট্টির ফ্যাক্টরিয়ালের মান বের  করা  কঠিন,x!=y
পঁয়ষট্টির ফ্যাক্টরিয়ালের মান বের  করা  কঠিন,x!=y
ছেষট্টির ফ্যাক্টরিয়ালের মান বের  করা  কঠিন,x!=y
সাতষট্টির ফ্যাক্টরিয়ালের মান বের  করা  কঠিন,x!=y
আটষট্টির ফ্যাক্টরিয়ালের মান বের  করা  কঠিন,x!=y
ঊনসত্তরের  ফ্যাক্টরিয়ালের মান বের  করা  কঠিন,x!=y
চারশত নয় এর সাথে তের যোগ করলে চারশত বাইশ হবে।,x+y=z
একশো এক এর বর্গমূলের মান দশ দশমিক শূন্য চার,√x=y
একের সাথে ঊনানব্বই যোগ করলে নব্বই হয়।,x+y=z
হালিমার পঁচিশ টি গল্পের বই ছিল। সে মেলা থেকে আরও বারো টি বই কিনল। এখন তার সাঁইত্রিশ টি বই হলো,x+y=z
একশ দুইয়ের বর্গমূলের মান দশ দশমিক শূন্য নয়,√x=y
একশো তিনের বর্গমূলের মান দশ দশমিক এক চার,√x=y
একশো চারের বর্গমূলের মান দশ দশমিক এক নয় আট,√x=y
একটি ক্রিকেট ম্যাচে রাফিদের দল পঁয়তাল্লিশ রান করল এবং সামীদের দল তেত্রিশ রান করল। দুই দল মিলে মোট আটাত্তর রান করল,x+y=z
একশো পাঁচের বর্গমূলের মান দশ দশমিক দুই চার ছয়,√x=y
একটি বিদ্যালয়ের প্রথম শ্রেণিতে ছত্রিশ জন ছাত্র ও তেতাল্লিশ জন ছাত্রী আছে। ঐ বিদ্যালয়ের প্রথম শ্রেণিতে মোট ঊনআশি জন ছাত্র-ছাত্রী আছে,x+y=z
ছয় এর সাথে একশত আঠারো যোগ করলে একশত চব্বিশ হবে।,x+y=z
একশো ছয়ের বর্গমূলের মান দশ দশমিক দুই নয় পাঁচ,√x=y
সতের এর সাথে বিশ যোগ করলে সাঁইত্রিশ হবে।,x+y=z
সুমন পঞ্চান্ন টাকার বই ও তেত্রিশ টাকার রঙিন কলম কিনল। সে আটাশি টাকা খরচ করল,x+y=z
একশো সাতের বর্গমূলের মান দশ দশমিক তিন চার,√x=y
একটি কলা ছয় টাকা দিয়ে কিনে সেটিকে ছয় গুন করে বিক্রি করে মোট ছয়ত্রিশ টাকায় বিক্রি করেন কাওছার।,xy=z
একশো আটের বর্গমূলের মান দশ দশমিক তিন নয়,√x=y
সাঁইত্রিশ গোলাপ ও চল্লিশ টি গাঁদা ফুল দিয়ে একটি ফুলের তোড়া বানানো হলো। তোড়া বানানোর জন্য মোট সাতাত্তর টি ফুল লাগল,x+y=z
একশো নয়ের বর্গমূলের মান দশ দশমিক চার চার,√x=y
একচল্লিশ এর সাথে বত্রিশ যোগ করলে তিয়াত্তর হবে।,x+y=z
একশো দশের বর্গমূলের মান দশ দশমিক চার আট,√x=y
বিয়াল্লিশ এর সাথে চার যোগ করলে ছেচল্লিশ হবে।,x+y=z
একশো এগারোর বর্গমূলের মান দশ দশমিক পাঁচ তিন,√x=y
বত্রিশ এর সাথে বত্রিশ যোগ করলে চৌষট্রি হবে।,x+y=z
একশো বারোর বর্গমূলের মান দশ দশমিক পাঁচ আট,√x=y
নয়শত সাত এর সাথে তিন যোগ করলে নয়শত দশ হবে।,x+y=z
মলি সত্তর টাকা নিয়ে দোকানে গেল। সে চল্লিশ টাকা দিয়ে একটি খাতা কিনল। তার কাছে ত্রিশ টাকা রইল,x-y=z
একশো তেরোর বর্গমূলের মান দশ দশমিক ছয় তিন,√x=y
আমিন সাহেবের নার্সারিতে নিরানব্বই টি কাঁঠালের চারা ছিল। তিনি গত সপ্তাহে ঊনষাট টি চারা বিক্রি করেন। এখন নার্সারিতে চল্লিশ টি কাঁঠালের চারা আছে,x-y=z
একশো চৌদ্দর বর্গমূলের মান দশ দশমিক ছয় সাত,√x=y
একশ পনেরোর  বর্গমূলের মান দশ দশমিক সাত দুই,√x=y
আটাশ এর সাথে দুই যোগ করলে ত্রিশ হবে।,x+y=z
তানিয়ার সাঁইত্রিশ টি সাদা কাগজ ছিল। সে ছবি আঁকতে পনেরো টি ব্যবহার করল। তার কাছে বাইশ টি সাদা কাগজ রইল,x-y=z
সাদির নিকট সাতাশ টাকা আছে। কিন্তু সে সাতচল্লিশ টাকা দামের একটি খেলনা কিনতে চায়। খেলনাটি কিনতে তার আরও বিশ টাকা লাগবে,x-y=z
সাতাশি এর সাথে তিন যোগ করলে নব্বই হবে।,x+y=z
"একটি বিদ্যালয়ের দ্বিতীয় শ্রেণিতে বত্রিশ জন এবং প্রথম শ্রেণিতে চুয়াল্লিশ জন শিক্ষার্থী আছে। প্রথম শ্রেণিতে শিক্ষার্থীর সংখ্যা বেশি, বারো জন বেশি।",x-y=z
একশ ষোলর বর্গমূলের মান  দশ দশমিক সাত সাত,√x=y
একশ সতেরোর বর্গমূলের মান দশ দশমিক আট এক,√x=y
একশ আঠারোর বর্গমূলের মান দশ দশমিক আট ছয়,√x=y
একশ উনিশের বর্গমূলের মান দশ দশমিক নয় শূন্য আট,√x=y
একশ বিশের বর্গমূলের মান দশ দশমিক নয় পাঁচ চার,√x=y
একশ একুশের বর্গমূলের মান এগার,√x=y
একশ বাইশের বর্গমূলের মান এগারো দশমিক শূন্য চার পাঁচ,√x=y
আটচল্লিশ এর সাথে দুই যোগ করলে পঞ্চাশ হবে।,x+y=z
একশ তেইশের বর্গমূলের মান এগার দশমিক শূন্য নয়,√x=y
একশ চব্বিশের বর্গমূলের মান এগার দশমিক এক তিন পাঁচ,√x=y
দশ এর সাথে এগার গুন করলে একশ দশ হবে।,xy=z
একশ পঁচিশের বর্গমূলের  মান এগার দশমিক এক আট,√x=y
একশ ছাব্বিশের বর্গমূলের মান এগার দশমিক দুই দুই চার,√x=y
একাত্তর এর সাথে ছয় যোগ করলে সাতাত্তর হবে।,x+y=z
একশ সাতাশের বর্গমূলের মান এগার দশমিক দুই ছয় নয়,√x=y
একশ আটাশের বর্গমূলের মান এগার দশমিক তিন এক,√x=y
একশ উনত্রিশের বর্গমূলের মান এগার দশমিক তিন পাঁচ সাত,√x=y
একানব্বই এর সাথে এক গুন করলে একানব্বই হবে।,xy=z
একশত ঊনিশের সাথে তিন যোগ করলে একশত বাইশ হবে।,x+y=z
এক হাজার এর সাথে এগার যোগ করলে এক হাজার এগার হবে ।,x+y=z
একত্রিশ এর সাথে নয় যোগ করলে চল্লিশ হবে।,x+y=z
একশত তের এর সাথে এক গুন দিলে একশত তের হবে ।,xy=z
দুইশত চার এর সাথে এক গুন দিলে দুইশত চারই হবে।,xy=z
বারোর সাথে পনের এর গুন হলে গুনফল একশত আশি হবে।,xy=z
বিশ এর সাথে চল্লিশ এর গুন হলে গুন ফল আটশত হবে।,xy=z
চার এর সাথে তিরানব্বই এর গুনফল তিনশত বাহাত্তর হবে।,xy=z
এক হাজার আটানব্বইকে একশত বাইশ ধারা ভাগ করলে ভাগফল নয় হবে।,x/y=z
চার এর সাথে তেইশ এর গুন করা হলে গুনফল বিরানব্বই হবে।,xy=z
পঞ্চাশ এর সাথে দুই গুন করা হলে একশত হবে।,xy=z
নয় এর সাথে তেইশ গুন করা হলে দুইশত সাত হবে।,xy=z
ছয় এর সাথে নয় এর গুন  করা হলে চুয়ান্ন হবে।,xy=z
দুইশত এক এর সাথে তিন গুন করা হলে ছয়শত তিন হবে।,xy=z
বারোর সাথে এগার এর গুন করলে একশত বত্রিশ হবে।,xy=z
একশ ত্রিশের বর্গমূলের মান এগার দশমিক চার শুন্য এক,√x=y
একশ একত্রিশের বর্গমূলের মান এগার দশমিক চার চার পাঁচ,√x=y
একশ বত্রিশের বর্গমূলের মান এগার দশমিক চার আট,√x=y
একশ তেত্রিশের বর্গমূলের মান এগার দশমিক পাঁচ তিন দুই,√x=y
একশ চৌত্রিশের বর্গমূলের মান এগার দশমিক পাঁচ সাত,√x=y
একশ পঁয়ত্রিশের বর্গমূলের মান এগার দশমিক ছয় এক আট,√x=y
একশ ছত্রিশের বর্গমূলের মান এগার দশমিক ছয় ছয় এক,√x=y
একশ সাইত্রিশের বর্গমূলের মান এগার দশমিক সাত শূন্য চার,√x=y
একশ আটত্রিশের বর্গমূলের মান এগার দশমিক সাত চার সাত,√x=y
একশ ঊনচল্লিশের বর্গমূলের মান এগার দশমিক সাত আট নয়,√x=y
একশ চল্লিশের বর্গমূলের মান এগার দশমিক আট তিন দুই,√x=y
একশ একচল্লিশের বর্গমূলের মান এগার দশমিক আট সাত চার,√x=y
একশ বিয়াল্লিশের বর্গমূলের মান এগার দশমিক নয় এক ছয়,√x=y
ছয়শত এর সাথে এক গুন করলে ছয়শত হবে।,xy=z
একশ তেতাল্লিশের বর্গমূলের মান এগার দশমিক নয় পাঁচ আট,√x=y
ছয়শত দুই এর সাথে দুইগুন করলে বারোশত চার হবে ।,xy=z
একশ চুয়াল্লিশের বর্গমূলের মান বারো,√x=y
ছয়শত তিন এর সাথে তিন গুন করলে আঠারোশত নয় হবে।,xy=z
ছয়শত চার এর সাথে চার গুন করলে দুই হাজার চারশত ষোল হবে।,xy=z
ছয়শত পাঁচ এর সাথে পাঁচ গুন করলে তিন হাজার পঁচিশ হবে।,xy=z
ছয়শত  ছয় এর সাথে ছয় গুন করলে তিন হাজার ছয়শত ছয়ত্রিশ হবে।,xy=z
ছয়শত সাত এর সাথে সাত গুন করলে চার হাজার দুইশত ঊনপঞ্চাশ হবে।,xy=z
ছয়শত আট এর সাথে আট গুন করলে চার হাজার আটশত চৌষট্রি হবে ।,xy=z
ছয়শত নয় এর সাথে নয় গুন করলে পাঁচ হাজার চারশত একাশি হবে।,xy=z
ছয়শত দশ এর সাথে দশ গুন করলে ছয় হাজার একশত হবে।,xy=z
ছয়শত এগার এর সাথে এগার গুন করলে ছয় হাজার সাতশত একুশ হবে।,xy=z
ছয়শত বারো এর সাথে বারো গুন করলে সাত হাজার তিনশত চুয়াল্লিশ হবে।,xy=z
একশ পঁয়তাল্লিশের বর্গমূলের মান বারো দশমিক শূন্য চার এক,√x=y
ছয়শত তের এর সাথে তের এর গুন সাত হাজার নয়শত ঊনসত্তর হবে।,xy=z
একশ ছেচল্লিশের বর্গমূলের মান বারো দশমিক শূন্য আট তিন,√x=y
ছয়শত চৌদ্দ এর সাথে চৌদ্দ গুন হলে আট হাজার পাঁচ্শত ছিয়ানব্বই হবে।,xy=z
একশ সাতচল্লিশের বর্গমূলের মান বারো দশমিক এক দুই চার,√x=y
ছয়শত পনের এর সাথে পনের গুন হলে গুনফল নয় হাজার দুইশত পঁচিশ হবে।,xy=z
একশ আটচল্লিশের বর্গমূলের মান বারো দশমিক এক ছয় পাঁচ,√x=y
ছয়শত ষোল এর সাথে ষোল গুন করলে নয় হাজার আটশত ছাপ্পান্ন হবে।,xy=z
ছয়শত সতের এর সাথে সাতের গুন করলে দশ হাজার চারশত ঊনানব্বই হবে ।,xy=z
